epoch,decoder_loss,loss,lr,signal_loss,val_decoder_loss,val_loss,val_signal_loss
0,0.46262598,0.9878530911604564,0.001,5.2522664,0.4697989225387573,1.0167803168296814,5.469813346862793
1,0.41521743,0.8635877224802971,0.001,4.483707,0.4012239873409271,0.9406067728996277,5.393828392028809
2,0.3952249,0.8343869838118553,0.001,4.3916187,0.37993502616882324,0.9216827750205994,5.417477607727051
3,0.38186127,0.8160301160812378,0.001,4.341689,0.3563391864299774,0.9087810218334198,5.524418354034424
4,0.3710548,0.8016439761718114,0.001,4.3058915,0.3411863446235657,0.8952623009681702,5.540759086608887
5,0.36351585,0.791273322502772,0.001,4.2775755,0.33165812492370605,0.8880162537097931,5.563581466674805
6,0.3560183,0.7816693032781283,0.001,4.25651,0.3298267722129822,0.8915233612060547,5.6169657707214355
7,0.350071,0.7734464196364085,0.001,4.233755,0.30960750579833984,0.8703199326992035,5.607124328613281
8,0.34590265,0.7675790491700173,0.001,4.216765,0.3115919232368469,0.8802824020385742,5.6869049072265625
9,0.34116638,0.7617135919133822,0.001,4.205475,0.3118821084499359,0.879426121711731,5.675439834594727
10,0.33729425,0.7565169829130173,0.001,4.192229,0.3076673448085785,0.8753497004508972,5.676823616027832
11,0.33364686,0.7517393031716346,0.001,4.180921,0.29829609394073486,0.8703876733779907,5.720915794372559
12,0.33008444,0.7469595300157865,0.001,4.1687503,0.2869313657283783,0.8621176481246948,5.751862525939941
13,0.3273637,0.743446715871493,0.001,4.1608305,0.28942644596099854,0.8598277568817139,5.704012870788574
14,0.3241435,0.7392244331041972,0.001,4.1508107,0.2853168845176697,0.8546650409698486,5.6934814453125
15,0.32242465,0.7368747964501381,0.001,4.1445003,0.2814213037490845,0.8537492454051971,5.7232794761657715
16,0.31962067,0.7331182675560316,0.001,4.1349764,0.28150492906570435,0.8591767847537994,5.776718616485596
17,0.317276,0.7299645062287649,0.001,4.1268845,0.27164286375045776,0.8464285135269165,5.747856616973877
18,0.31495717,0.7270215956370035,0.001,4.120645,0.2704561948776245,0.8514252305030823,5.809689998626709
19,0.313037,0.724432742993037,0.001,4.113959,0.2759595513343811,0.8573538064956665,5.8139424324035645
20,0.3114537,0.722362454632918,0.001,4.1090865,0.2786349058151245,0.8577657341957092,5.791308403015137
21,0.3090478,0.7193318942189216,0.001,4.102841,0.27245649695396423,0.8514407873153687,5.78984260559082
22,0.30776253,0.7176109583179155,0.001,4.098485,0.2661113739013672,0.8522228598594666,5.861114501953125
23,0.30608958,0.7155496764183045,0.001,4.094603,0.26682183146476746,0.8463221788406372,5.795003890991211
24,0.30448437,0.71333309729894,0.001,4.0884905,0.26194265484809875,0.8380885720252991,5.761458873748779
25,0.30297497,0.7114446354905765,0.001,4.084697,0.2619343400001526,0.839705228805542,5.777708053588867
26,0.3012346,0.7089952417214711,0.001,4.0776052,0.25868719816207886,0.8365369141101837,5.778497219085693
